timestamp;buyer;seller;symbol;currency;price;quantity
1744065676645;;;SQUID_INK;SEASHELLS;9395;5
1744065677202;;;SQUID_INK;SEASHELLS;9423;4
1744065680222;;;SQUID_INK;SEASHELLS;9344;1
1744065682171;;;SQUID_INK;SEASHELLS;8667;2
1744065683595;;;SQUID_INK;SEASHELLS;8063;5
1744065683796;;;SQUID_INK;SEASHELLS;8512;1
1744065686863;;;SQUID_INK;SEASHELLS;8223;1
1744065690644;;;SQUID_INK;SEASHELLS;9168;2
1744065695246;;;SQUID_INK;SEASHELLS;10295;3
1744065697161;;;SQUID_INK;SEASHELLS;10013;4
1744065699916;;;SQUID_INK;SEASHELLS;10080;1
1744065702491;;;SQUID_INK;SEASHELLS;10065;3
1744065705495;;;SQUID_INK;SEASHELLS;10526;3
1744065708993;;;SQUID_INK;SEASHELLS;10525;1
1744065710387;;;SQUID_INK;SEASHELLS;10227;1
1744065710741;;;SQUID_INK;SEASHELLS;10733;2
1744065711293;;;SQUID_INK;SEASHELLS;10516;3
1744065716118;;;SQUID_INK;SEASHELLS;10511;4
1744065717856;;;SQUID_INK;SEASHELLS;11094;2
1744065718147;;;SQUID_INK;SEASHELLS;10787;1
1744065720064;;;SQUID_INK;SEASHELLS;10656;2
1744065724955;;;SQUID_INK;SEASHELLS;11233;4
1744065729883;;;SQUID_INK;SEASHELLS;12094;4
1744065731433;;;SQUID_INK;SEASHELLS;12432;1
1744065735630;;;SQUID_INK;SEASHELLS;12293;5
1744065740244;;;SQUID_INK;SEASHELLS;12289;4
1744065744181;;;SQUID_INK;SEASHELLS;11503;4
1744065745991;;;SQUID_INK;SEASHELLS;11879;5
1744065746363;;;SQUID_INK;SEASHELLS;12000;1
1744065750147;;;SQUID_INK;SEASHELLS;11679;1
1744065752352;;;SQUID_INK;SEASHELLS;12429;2
1744065753061;;;SQUID_INK;SEASHELLS;11457;4
1744065756979;;;SQUID_INK;SEASHELLS;11907;4
1744065761822;;;SQUID_INK;SEASHELLS;11879;2
1744065763579;;;SQUID_INK;SEASHELLS;12403;2
1744065766850;;;SQUID_INK;SEASHELLS;11876;5
1744065768438;;;SQUID_INK;SEASHELLS;11383;5
1744065772182;;;SQUID_INK;SEASHELLS;10887;4
1744065774964;;;SQUID_INK;SEASHELLS;11355;5
1744065775507;;;SQUID_INK;SEASHELLS;10750;4
1744065777341;;;SQUID_INK;SEASHELLS;10447;3
1744065778888;;;SQUID_INK;SEASHELLS;10116;4
1744065779590;;;SQUID_INK;SEASHELLS;10896;3
1744065781943;;;SQUID_INK;SEASHELLS;11214;1
1744065784350;;;SQUID_INK;SEASHELLS;11066;4
1744065786432;;;SQUID_INK;SEASHELLS;10855;5
1744065788943;;;SQUID_INK;SEASHELLS;10851;3
1744065790913;;;SQUID_INK;SEASHELLS;10408;4
1744065794609;;;SQUID_INK;SEASHELLS;10594;2
1744065798246;;;SQUID_INK;SEASHELLS;9674;4
1744065801684;;;SQUID_INK;SEASHELLS;10249;4
1744065804361;;;SQUID_INK;SEASHELLS;9595;3
1744065808991;;;SQUID_INK;SEASHELLS;10328;3
1744065812949;;;SQUID_INK;SEASHELLS;10309;2
1744065816121;;;SQUID_INK;SEASHELLS;10542;2
1744065816568;;;SQUID_INK;SEASHELLS;10401;5
1744065819727;;;SQUID_INK;SEASHELLS;10362;5
1744065822625;;;SQUID_INK;SEASHELLS;10673;2
1744065826404;;;SQUID_INK;SEASHELLS;9840;1
1744065828129;;;SQUID_INK;SEASHELLS;8963;3
1744065830456;;;SQUID_INK;SEASHELLS;8849;5
1744065834431;;;SQUID_INK;SEASHELLS;8925;5
1744065835168;;;SQUID_INK;SEASHELLS;8756;2
1744065836175;;;SQUID_INK;SEASHELLS;8945;2
1744065841051;;;SQUID_INK;SEASHELLS;8399;2
1744065844429;;;SQUID_INK;SEASHELLS;7851;4
1744065848593;;;SQUID_INK;SEASHELLS;7703;5
1744065850195;;;SQUID_INK;SEASHELLS;7649;3
1744065851749;;;SQUID_INK;SEASHELLS;7835;2
1744065856481;;;SQUID_INK;SEASHELLS;8641;3
1744065861472;;;SQUID_INK;SEASHELLS;9295;5
1744065862136;;;SQUID_INK;SEASHELLS;8667;1
1744065864617;;;SQUID_INK;SEASHELLS;8473;1
1744065869425;;;SQUID_INK;SEASHELLS;8485;2
1744065871198;;;SQUID_INK;SEASHELLS;7374;2
1744065871513;;;SQUID_INK;SEASHELLS;7371;2
1744065873696;;;SQUID_INK;SEASHELLS;7074;1
1744065877568;;;SQUID_INK;SEASHELLS;7289;3
1744065877873;;;SQUID_INK;SEASHELLS;8185;5
1744065880114;;;SQUID_INK;SEASHELLS;9099;3
1744065882775;;;SQUID_INK;SEASHELLS;8508;1
1744065886651;;;SQUID_INK;SEASHELLS;9183;5
1744065891024;;;SQUID_INK;SEASHELLS;8792;5
1744065894687;;;SQUID_INK;SEASHELLS;7948;5
1744065895490;;;SQUID_INK;SEASHELLS;8851;4
1744065900279;;;SQUID_INK;SEASHELLS;8025;1
1744065904517;;;SQUID_INK;SEASHELLS;8850;1
1744065909382;;;SQUID_INK;SEASHELLS;9209;4
1744065911479;;;SQUID_INK;SEASHELLS;10138;5
1744065916178;;;SQUID_INK;SEASHELLS;10503;1
1744065917563;;;SQUID_INK;SEASHELLS;9886;2
1744065920440;;;SQUID_INK;SEASHELLS;9566;3
1744065923310;;;SQUID_INK;SEASHELLS;9634;3
1744065923995;;;SQUID_INK;SEASHELLS;8948;4
1744065925526;;;SQUID_INK;SEASHELLS;8787;5
1744065928797;;;SQUID_INK;SEASHELLS;10037;5
1744065933019;;;SQUID_INK;SEASHELLS;9073;4
1744065936178;;;SQUID_INK;SEASHELLS;9126;2
1744065937347;;;SQUID_INK;SEASHELLS;9297;2
1744065940819;;;SQUID_INK;SEASHELLS;9529;4
1744065942475;;;SQUID_INK;SEASHELLS;9620;4
1744065945596;;;SQUID_INK;SEASHELLS;10100;1
1744065948136;;;SQUID_INK;SEASHELLS;10270;2
1744065951256;;;SQUID_INK;SEASHELLS;10740;1
1744065953241;;;SQUID_INK;SEASHELLS;12125;3
1744065954080;;;SQUID_INK;SEASHELLS;12063;1
1744065958032;;;SQUID_INK;SEASHELLS;11666;4
1744065959797;;;SQUID_INK;SEASHELLS;12277;5
1744065964406;;;SQUID_INK;SEASHELLS;12155;5
1744065967637;;;SQUID_INK;SEASHELLS;11564;3
1744065970878;;;SQUID_INK;SEASHELLS;10664;5
1744065970985;;;SQUID_INK;SEASHELLS;11185;1
1744065974395;;;SQUID_INK;SEASHELLS;10526;2
1744065976098;;;SQUID_INK;SEASHELLS;11165;5
1744065979593;;;SQUID_INK;SEASHELLS;11313;5
1744065983794;;;SQUID_INK;SEASHELLS;11055;3
1744065988634;;;SQUID_INK;SEASHELLS;11298;3
1744065992313;;;SQUID_INK;SEASHELLS;10762;5
1744065993211;;;SQUID_INK;SEASHELLS;11497;3
1744065993456;;;SQUID_INK;SEASHELLS;10396;2
1744065997352;;;SQUID_INK;SEASHELLS;10631;5
1744065999251;;;SQUID_INK;SEASHELLS;10180;1
1744065999619;;;SQUID_INK;SEASHELLS;9898;5
1744065999825;;;SQUID_INK;SEASHELLS;9847;5
1744066000148;;;SQUID_INK;SEASHELLS;10630;5
1744066001133;;;SQUID_INK;SEASHELLS;10407;2
1744066002609;;;SQUID_INK;SEASHELLS;11451;4
1744066007558;;;SQUID_INK;SEASHELLS;10856;5
1744066008431;;;SQUID_INK;SEASHELLS;10928;2
1744066011388;;;SQUID_INK;SEASHELLS;10496;5
1744066012683;;;SQUID_INK;SEASHELLS;10505;2
1744066016668;;;SQUID_INK;SEASHELLS;9470;3
1744066017790;;;SQUID_INK;SEASHELLS;9811;1
1744066018053;;;SQUID_INK;SEASHELLS;10554;5
1744066019030;;;SQUID_INK;SEASHELLS;10613;5
1744066022054;;;SQUID_INK;SEASHELLS;10521;3
1744066022353;;;SQUID_INK;SEASHELLS;10167;4
1744066023170;;;SQUID_INK;SEASHELLS;9259;4
1744066027761;;;SQUID_INK;SEASHELLS;9452;1
1744066028007;;;SQUID_INK;SEASHELLS;9039;5
1744066028310;;;SQUID_INK;SEASHELLS;8719;1
1744066031988;;;SQUID_INK;SEASHELLS;8466;2
1744066034282;;;SQUID_INK;SEASHELLS;9990;5
1744066037630;;;SQUID_INK;SEASHELLS;9974;5
1744066039096;;;SQUID_INK;SEASHELLS;10126;1
1744066040082;;;SQUID_INK;SEASHELLS;9274;4
1744066042173;;;SQUID_INK;SEASHELLS;8686;4
1744066046973;;;SQUID_INK;SEASHELLS;8578;3
1744066048918;;;SQUID_INK;SEASHELLS;9582;4
1744066052410;;;SQUID_INK;SEASHELLS;9881;2
1744066054657;;;SQUID_INK;SEASHELLS;9822;5
1744066055951;;;SQUID_INK;SEASHELLS;10198;3
1744066060097;;;SQUID_INK;SEASHELLS;10187;2
1744066062580;;;SQUID_INK;SEASHELLS;9298;5
1744066063352;;;SQUID_INK;SEASHELLS;9520;3
1744066068018;;;SQUID_INK;SEASHELLS;10169;4
1744066068557;;;SQUID_INK;SEASHELLS;10002;2
1744066071961;;;SQUID_INK;SEASHELLS;9718;4
1744066076605;;;SQUID_INK;SEASHELLS;10186;4
1744066079456;;;SQUID_INK;SEASHELLS;10638;5
1744066083762;;;SQUID_INK;SEASHELLS;10186;3
1744066087362;;;SQUID_INK;SEASHELLS;9682;4
1744066091595;;;SQUID_INK;SEASHELLS;9733;2
1744066092940;;;SQUID_INK;SEASHELLS;10473;4
1744066096987;;;SQUID_INK;SEASHELLS;10354;2
1744066101041;;;SQUID_INK;SEASHELLS;10663;4
1744066103266;;;SQUID_INK;SEASHELLS;11065;5
1744066104726;;;SQUID_INK;SEASHELLS;11090;5
1744066106821;;;SQUID_INK;SEASHELLS;10923;5
1744066108024;;;SQUID_INK;SEASHELLS;10476;5
1744066112416;;;SQUID_INK;SEASHELLS;10127;3
1744066117021;;;SQUID_INK;SEASHELLS;9898;2
1744066118715;;;SQUID_INK;SEASHELLS;10838;1
1744066118914;;;SQUID_INK;SEASHELLS;10824;3
1744066120755;;;SQUID_INK;SEASHELLS;11033;1
1744066124606;;;SQUID_INK;SEASHELLS;11582;5
1744066126777;;;SQUID_INK;SEASHELLS;11737;1
1744066127098;;;SQUID_INK;SEASHELLS;13109;3
1744066131532;;;SQUID_INK;SEASHELLS;12744;3
1744066135004;;;SQUID_INK;SEASHELLS;12701;1
1744066135743;;;SQUID_INK;SEASHELLS;12804;4
1744066136663;;;SQUID_INK;SEASHELLS;12241;3
1744066138054;;;SQUID_INK;SEASHELLS;11829;1
1744066141107;;;SQUID_INK;SEASHELLS;10826;1
1744066142602;;;SQUID_INK;SEASHELLS;10347;1
1744066144333;;;SQUID_INK;SEASHELLS;11004;2
1744066148636;;;SQUID_INK;SEASHELLS;11075;4
1744066151435;;;SQUID_INK;SEASHELLS;10449;1
1744066153822;;;SQUID_INK;SEASHELLS;10496;5
1744066156258;;;SQUID_INK;SEASHELLS;10686;3
1744066158062;;;SQUID_INK;SEASHELLS;10257;5
1744066160104;;;SQUID_INK;SEASHELLS;10367;5
1744066163699;;;SQUID_INK;SEASHELLS;10184;4
1744066166345;;;SQUID_INK;SEASHELLS;11518;4
1744066168527;;;SQUID_INK;SEASHELLS;11294;1
1744066169751;;;SQUID_INK;SEASHELLS;11189;5
1744066172871;;;SQUID_INK;SEASHELLS;10511;4
1744066177688;;;SQUID_INK;SEASHELLS;10828;3
1744066181542;;;SQUID_INK;SEASHELLS;10460;4
1744066185359;;;SQUID_INK;SEASHELLS;10425;5
1744066187486;;;SQUID_INK;SEASHELLS;10007;3
1744066189870;;;SQUID_INK;SEASHELLS;10071;1
1744066190316;;;SQUID_INK;SEASHELLS;9289;2
1744066191558;;;SQUID_INK;SEASHELLS;8752;4
1744066193193;;;SQUID_INK;SEASHELLS;8455;5
1744066194035;;;SQUID_INK;SEASHELLS;7739;3
1744066194837;;;SQUID_INK;SEASHELLS;8355;1
1744066199139;;;SQUID_INK;SEASHELLS;7764;5
1744066201192;;;SQUID_INK;SEASHELLS;7567;1
1744066203969;;;SQUID_INK;SEASHELLS;7783;2
1744066207504;;;SQUID_INK;SEASHELLS;6470;2
1744066212146;;;SQUID_INK;SEASHELLS;7464;1
1744066216701;;;SQUID_INK;SEASHELLS;8172;1
1744066218984;;;SQUID_INK;SEASHELLS;8904;1
1744066222007;;;SQUID_INK;SEASHELLS;8825;3
1744066224278;;;SQUID_INK;SEASHELLS;8766;4
1744066226295;;;SQUID_INK;SEASHELLS;8954;4
1744066229276;;;SQUID_INK;SEASHELLS;9382;1
1744066231414;;;SQUID_INK;SEASHELLS;8925;5
1744066234061;;;SQUID_INK;SEASHELLS;9358;2
1744066234819;;;SQUID_INK;SEASHELLS;9846;1
